player_id,total_finishing,total_chance_creation,total_ball_progression,total_dribbling,total_ball_winning,total_defensive_actions,total_passing_accuracy,total_long_passing,total_events,matches_played,player_name,position,season_avg_x,events_per_match,estimated_minutes_per_match,estimated_total_minutes,finishing_per90,chance_creation_per90,ball_progression_per90,dribbling_per90,ball_winning_per90,defensive_actions_per90,passing_accuracy_per90,long_passing_per90,finishing_rating,chance_creation_rating,ball_progression_rating,dribbling_rating,ball_winning_rating,defensive_actions_rating,passing_accuracy_rating,long_passing_rating,overall_rating,within_position_overall
5095,7.8,198.0,365.5,67.5,159.0,128.3,263.3,29.5,1893,17,Leart Paçarada,midfielder,-2.997874601487779,111.3529411764706,90.0,1530.0,0.45882352941176474,11.647058823529413,21.5,3.9705882352941178,9.352941176470589,7.5470588235294125,15.488235294117649,1.7352941176470589,27.3,94.2,78.4,65.0,65.5,63.1,50.2,,70.7,79.4
2030,17.4,66.0,294.5,74.0,252.5,199.1,297.2,42.5,1876,23,Lucas Tousart,midfielder,-2.77348938486663,81.56521739130434,90.0,2070.0,0.7565217391304346,2.869565217391304,12.804347826086957,3.217391304347826,10.978260869565217,8.656521739130435,12.921739130434784,1.8478260869565217,39.2,45.9,43.0,52.6,79.9,72.7,39.2,,50.8,46.4
57263,43.9,111.0,306.0,93.5,172.0,142.7,318.1,47.5,2103,28,Kevin Paredes,midfielder,5.695281656234955,75.10714285714286,90.0,2520.0,1.5678571428571428,3.9642857142857144,10.928571428571429,3.3392857142857144,6.142857142857142,5.096428571428571,11.360714285714288,1.6964285714285714,68.9,60.3,36.3,55.5,34.4,31.1,31.6,,43.4,37.3
862,70.2,203.0,268.5,121.0,117.5,113.8,304.5,22.5,2199,27,Roland Sallai,midfielder,9.747793427230047,81.44444444444444,90.0,2430.0,2.6,7.518518518518518,9.944444444444445,4.481481481481482,4.351851851851852,4.214814814814814,11.277777777777777,0.8333333333333333,87.5,87.0,29.2,72.7,18.7,23.4,31.1,,46.4,41.1
5616,138.9,487.0,730.5,159.0,294.0,227.9,1266.3,93.0,5997,33,Alejandro Grimaldo,midfielder,8.578906773977197,181.72727272727272,90.0,2970.0,4.209090909090909,14.757575757575756,22.136363636363637,4.818181818181818,8.909090909090908,6.906060606060606,38.37272727272727,2.8181818181818183,98.0,95.2,79.9,78.9,60.7,56.0,93.7,,81.8,94.7
109888,81.1,93.0,127.5,80.5,32.5,53.4,105.8,9.5,981,24,Justin Njinmah,forward,13.631617647058823,40.875,90.0,2160.0,3.3791666666666664,3.875,5.3125,3.354166666666667,1.3541666666666665,2.225,4.408333333333333,0.39583333333333337,66.0,54.6,31.9,55.8,,,,,58.8,61.4
281,57.0,83.0,1672.5,245.5,351.0,310.2,2542.4,349.0,9375,33,Granit Xhaka,midfielder,2.500267809319764,284.09090909090907,90.0,2970.0,1.727272727272727,2.515151515151515,50.68181818181819,7.4393939393939394,10.636363636363637,9.399999999999999,77.04242424242425,10.575757575757576,73.7,41.6,98.5,95.2,76.0,80.8,99.0,,81.4,93.7
1153,6.4,58.0,413.5,72.5,225.0,209.8,500.5,107.0,2704,23,Fabian Holland,midfielder,-2.6884036144578314,117.56521739130434,90.0,2070.0,0.27826086956521745,2.5217391304347827,17.978260869565215,3.1521739130434785,9.782608695652174,9.121739130434783,21.760869565217394,4.6521739130434785,18.7,42.1,67.0,50.7,69.3,76.5,73.2,,59.7,63.4
27747,15.5,0.0,374.5,72.5,136.0,182.6,273.4,61.0,1759,15,Yannik Keitel,defender,-14.945720850086158,117.26666666666667,90.0,1350.0,1.0333333333333332,0.0,24.966666666666665,4.833333333333333,9.066666666666666,12.173333333333332,18.226666666666667,4.066666666666666,,,48.0,,44.1,52.0,45.1,34.8,46.9,51.0
10369,15.1,46.0,1189.0,223.0,561.5,612.0,957.7,174.0,5561,31,Timo Hübers,defender,-17.801922030825025,179.38709677419354,90.0,2790.0,0.4870967741935484,1.4838709677419355,38.354838709677416,7.193548387096774,18.112903225806452,19.741935483870968,30.893548387096775,5.612903225806451,,,85.3,,98.0,95.1,81.4,58.8,91.0,99.0
