player_id,total_finishing,total_chance_creation,total_ball_progression,total_dribbling,total_ball_winning,total_defensive_actions,total_passing_accuracy,total_long_passing,total_events,matches_played,player_name,position,season_avg_x,events_per_match,estimated_minutes_per_match,estimated_total_minutes,finishing_per90,chance_creation_per90,ball_progression_per90,dribbling_per90,ball_winning_per90,defensive_actions_per90,passing_accuracy_per90,long_passing_per90,finishing_rating,chance_creation_rating,ball_progression_rating,dribbling_rating,ball_winning_rating,defensive_actions_rating,passing_accuracy_rating,long_passing_rating,overall_rating,within_position_overall,market_value_millions,value_score,expected_rating,rating_vs_expected,value_category
66446,57.1,56.0,73.5,41.0,63.5,56.3,77.9,-1.5,1005,26,Oscar Vilhelmsson,midfielder,9.088631578947368,38.65384615384615,90.0,2340.0,2.1961538461538463,2.153846153846154,2.8269230769230766,1.5769230769230769,2.4423076923076925,2.1653846153846152,2.996153846153846,-0.057692307692307696,82.3,34.0,3.8,16.3,3.3,4.1,1.0,,14.5,6.7,,,,, Standard
27426,30.7,28.0,187.5,49.0,117.5,126.8,377.9,33.0,1795,18,Josha Vagnoman,midfielder,2.2604166666666665,99.72222222222223,90.0,1620.0,1.7055555555555555,1.5555555555555554,10.416666666666666,2.7222222222222223,6.527777777777778,7.044444444444444,20.994444444444444,1.8333333333333335,73.2,20.6,37.3,46.9,31.6,45.9,70.3,,41.2,34.4,10.0,4.12,33.33333333333333,7.866666666666674, Standard
1232,13.5,121.0,370.5,61.0,152.0,162.9,508.5,52.5,2406,23,Philipp Max,midfielder,-1.7371956339210748,104.6086956521739,90.0,2070.0,0.5869565217391304,5.260869565217392,16.108695652173914,2.652173913043478,6.608695652173913,7.082608695652174,22.108695652173914,2.282608695652174,34.4,75.6,63.1,44.7,32.5,47.3,74.6,,58.7,60.7,2.0,29.35,6.666666666666667,52.03333333333334, Standard
22967,66.6,92.0,87.0,34.0,74.5,82.0,184.7,4.5,1431,28,Philipp Hofmann,forward,11.009942363112392,51.107142857142854,90.0,2520.0,2.3785714285714286,3.285714285714286,3.107142857142857,1.2142857142857144,2.6607142857142856,2.928571428571429,6.596428571428571,0.1607142857142857,50.1,39.3,8.0,5.7,,,,,35.9,27.3,1.5,23.933333333333334,5.0,30.9, Standard
1050,13.299999999999999,10.0,457.5,63.5,494.5,393.5,742.4,83.5,3434,28,Nicolas Höfler,midfielder,-5.396206997941782,122.64285714285714,90.0,2520.0,0.4749999999999999,0.3571428571428571,16.339285714285715,2.267857142857143,17.660714285714285,14.053571428571429,26.514285714285712,2.982142857142857,28.7,1.9,64.1,34.9,95.7,92.8,82.3,,55.9,53.8,1.5,37.266666666666666,5.0,50.9, Standard
69542,4.3,0.0,36.0,12.0,18.0,4.0,56.0,1.0,292,9,Fábio Carvalho,forward,11.094501718213058,32.44444444444444,83.42857142857142,750.8571428571428,0.5154109589041096,0.0,4.315068493150686,1.4383561643835618,2.157534246575343,0.4794520547945206,6.712328767123289,0.11986301369863014,4.6,2.3,26.2,10.2,,,,,6.1,2.3,,,,, Standard
1171,13.0,108.0,468.5,85.5,161.5,149.1,513.1,175.0,2290,22,Pascal Stenzel,midfielder,-1.1321396993810788,104.0909090909091,90.0,1980.0,0.5909090909090909,4.909090909090909,21.295454545454547,3.8863636363636362,7.340909090909091,6.777272727272727,23.322727272727274,7.954545454545454,34.9,73.7,80.3,67.9,36.8,43.5,77.5,,66.7,73.7,2.5,26.68,8.333333333333332,58.366666666666674, Standard
9586,0.0,10.0,1586.0,211.5,12.0,160.5,223.3,461.5,4016,33,Manuel Riemann,defender,-35.53153961136024,121.6969696969697,90.0,2970.0,0.0,0.30303030303030304,48.06060606060606,6.409090909090909,0.36363636363636365,4.863636363636363,6.766666666666667,13.984848484848484,,,95.1,,23.5,24.5,2.9,97.0,39.7,40.2,0.6,66.16666666666667,2.0,37.7, Standard
356,75.8,133.0,468.5,99.5,279.0,212.3,635.2,71.0,3095,25,Marcel Sabitzer,midfielder,1.6035179153094463,123.8,90.0,2250.0,3.0319999999999996,5.32,18.740000000000002,3.9800000000000004,11.16,8.492,25.408,2.8400000000000003,92.8,76.0,74.1,70.3,70.8,59.3,81.3,,74.9,86.1,20.0,3.745,66.66666666666666,8.233333333333348, Standard
1283,20.3,0.0,455.0,56.0,216.5,296.0,310.8,80.0,1852,17,Niklas Stark,defender,-19.777899343544856,108.94117647058823,90.0,1530.0,1.1941176470588235,0.0,26.764705882352942,3.294117647058824,12.735294117647058,17.411764705882355,18.282352941176473,4.705882352941177,,,53.9,,56.9,68.6,46.1,45.1,58.1,59.8,5.0,11.620000000000001,16.666666666666664,41.43333333333334, Standard
