player_name,position,overall_rating,matches_played
Jan Thielmann,midfielder,56.2,22
Christopher Trimmel,midfielder,56.2,26
Manu Koné,midfielder,56.2,22
Rocco Reitz,midfielder,56.2,34
Ritsu Doan,midfielder,56.1,30
Eric Martel,midfielder,56.0,30
Nicolas Höfler,midfielder,55.9,28
Tim Skarke,midfielder,55.9,30
Ridle Baku,midfielder,55.0,33
Grischa Prömel,midfielder,54.4,28
Kristijan Jakic,midfielder,53.9,18
Ansgar Knauff,midfielder,53.5,31
Marvin Mehlem,midfielder,53.5,20
Florian Neuhaus,midfielder,53.4,23
Manuel Gulde,defender,53.4,27
Julian Justvan,midfielder,53.0,18
Marco Reus,midfielder,52.6,26
Junior Dina Ebimbe,midfielder,52.4,31
Denis Huseinbasic,midfielder,52.1,26
Jamie Leweling,forward,52.0,34
Aurélio Buta,midfielder,51.6,30
Stefan Lainer,midfielder,51.5,15
Niklas Süle,defender,51.0,23
Matthijs de Ligt,defender,50.5,22
Yannik Keitel,defender,50.5,15
Lukas Kübler,midfielder,50.5,26
Lucas Tousart,midfielder,50.4,23
Nicolas Cozza,midfielder,49.6,6
Jae-sung Lee,midfielder,49.3,29
Kevin Akpoguma,defender,49.2,17
Sheraldo Becker,forward,49.1,11
Christian Günter,midfielder,48.9,15
Christopher Antwi-Adjei,forward,48.8,25
Arne Maier,midfielder,48.8,21
Danny da Costa,midfielder,48.5,18
Fredrik Jensen,forward,48.5,22
Stefan Bell,defender,48.4,10
Maximilian Wittek,midfielder,48.2,21
Leandro Barreiro,midfielder,48.2,31
Hugo Larsson,midfielder,48.1,29
Youssoufa Moukoko,forward,47.8,20
Roland Sallai,midfielder,47.2,27
Castello Lukeba,defender,47.1,32
Felix Passlack,midfielder,47.1,15
Benno Schmitz,midfielder,46.9,22
Christoph Zimmermann,defender,46.8,19
Yorbe Vertessen,forward,46.8,13
Marius Bülter,midfielder,46.7,29
Jan Schöppner,midfielder,46.6,26
Merlin Röhl,midfielder,46.6,24
Vaclav Cerny,forward,46.4,22
Robert Skov,midfielder,46.3,25
Elvis Rexhbecaj,midfielder,46.2,25
Lukas Klostermann,defender,46.1,24
Patrik Schick,forward,45.8,20
Mathys Tel,forward,45.8,30
Klaus Gjasula,defender,45.7,22
